Move,Depth,Value,Alpha,Beta
F8,2,10013,1013,5016
F10,1,5016,-49505,5016
F11,2,-Infinity,-49505,5016
D8,3,-29,-49505,5016
F11,2,-29,-29,5016
D9,3,-38,-29,5016
F11,2,-29,-29,5016
D10,3,-34,-29,5016
F11,2,-29,-29,5016
E8,3,-34,-29,5016
F11,2,-29,-29,5016
E10,3,966,-29,5016
F11,2,966,966,5016
E11,3,462,966,5016
F11,2,966,966,5016
E12,3,-39,966,5016
F11,2,966,966,5016
F7,3,461,966,5016
F11,2,966,966,5016
F8,3,-34,966,5016
F11,2,966,966,5016
F12,3,-34,966,5016
F11,2,966,966,5016
F13,3,-38,966,5016
F11,2,966,966,5016
G7,3,11,966,5016
F11,2,966,966,5016
G13,3,-38,966,5016
F11,2,966,966,5016
H5,3,-39,966,5016
F11,2,966,966,5016
H6,3,11,966,5016
F11,2,966,966,5016
H7,3,-32,966,5016
F11,2,966,966,5016
H12,3,-34,966,5016
F11,2,966,966,5016
H13,3,-38,966,5016
F11,2,966,966,5016
I5,3,-39,966,5016
F11,2,966,966,5016
I11,3,462,966,5016
F11,2,966,966,5016
I12,3,-39,966,5016
F11,2,966,966,5016
J5,3,-39,966,5016
F11,2,966,966,5016
J6,3,-24,966,5016
F11,2,966,966,5016
J7,3,13,966,5016
F11,2,966,966,5016
J10,3,11,966,5016
F11,2,966,966,5016
J11,3,461,966,5016
F11,2,966,966,5016
K5,3,-39,966,5016
F11,2,966,966,5016
K6,3,-38,966,5016
F11,2,966,966,5016
K9,3,11,966,5016
F11,2,966,966,5016
K10,3,-39,966,5016
F11,2,966,966,5016
L5,3,-39,966,5016
F11,2,966,966,5016
L7,3,9966,966,5016
F11,2,9966,966,5016
F10,1,5016,-49505,5016
F12,2,-Infinity,-49505,5016
D8,3,20,-49505,5016
F12,2,20,20,5016
D9,3,11,20,5016
F12,2,20,20,5016
D10,3,15,20,5016
F12,2,20,20,5016
E8,3,15,20,5016
F12,2,20,20,5016
E10,3,1015,20,5016
F12,2,1015,1015,5016
E11,3,11,1015,5016
F12,2,1015,1015,5016
E12,3,10,1015,5016
F12,2,1015,1015,5016
E13,3,10,1015,5016
F12,2,1015,1015,5016
F7,3,510,1015,5016
F12,2,1015,1015,5016
F8,3,15,1015,5016
F12,2,1015,1015,5016
F11,3,16,1015,5016
F12,2,1015,1015,5016
F13,3,11,1015,5016
F12,2,1015,1015,5016
G7,3,60,1015,5016
F12,2,1015,1015,5016
G13,3,11,1015,5016
F12,2,1015,1015,5016
H5,3,10,1015,5016
F12,2,1015,1015,5016
H6,3,60,1015,5016
F12,2,1015,1015,5016
H7,3,17,1015,5016
F12,2,1015,1015,5016
H12,3,11,1015,5016
F12,2,1015,1015,5016
H13,3,15,1015,5016
F12,2,1015,1015,5016
I5,3,10,1015,5016
F12,2,1015,1015,5016
I11,3,11,1015,5016
F12,2,1015,1015,5016
I12,3,10,1015,5016
F12,2,1015,1015,5016
J5,3,10,1015,5016
F12,2,1015,1015,5016
J6,3,25,1015,5016
F12,2,1015,1015,5016
J7,3,62,1015,5016
F12,2,1015,1015,5016
J10,3,60,1015,5016
F12,2,1015,1015,5016
J11,3,510,1015,5016
F12,2,1015,1015,5016
K5,3,10,1015,5016
F12,2,1015,1015,5016
K6,3,11,1015,5016
F12,2,1015,1015,5016
K9,3,60,1015,5016
F12,2,1015,1015,5016
K10,3,10,1015,5016
F12,2,1015,1015,5016
L5,3,10,1015,5016
F12,2,1015,1015,5016
L7,3,10015,1015,5016
F12,2,10015,1015,5016
F10,1,5016,-49505,5016
F13,2,-Infinity,-49505,5016
D8,3,21,-49505,5016
F13,2,21,21,5016
D9,3,12,21,5016
F13,2,21,21,5016
D10,3,16,21,5016
F13,2,21,21,5016
E8,3,16,21,5016
F13,2,21,21,5016
E10,3,1016,21,5016
F13,2,1016,1016,5016
E11,3,12,1016,5016
F13,2,1016,1016,5016
E12,3,11,1016,5016
F13,2,1016,1016,5016
E13,3,11,1016,5016
F13,2,1016,1016,5016
E14,3,11,1016,5016
F13,2,1016,1016,5016
F7,3,511,1016,5016
F13,2,1016,1016,5016
F8,3,16,1016,5016
F13,2,1016,1016,5016
F11,3,18,1016,5016
F13,2,1016,1016,5016
F12,3,16,1016,5016
F13,2,1016,1016,5016
F14,3,11,1016,5016
F13,2,1016,1016,5016
G7,3,61,1016,5016
F13,2,1016,1016,5016
G13,3,12,1016,5016
F13,2,1016,1016,5016
G14,3,11,1016,5016
F13,2,1016,1016,5016
H5,3,11,1016,5016
F13,2,1016,1016,5016
H6,3,61,1016,5016
F13,2,1016,1016,5016
H7,3,18,1016,5016
F13,2,1016,1016,5016
H12,3,16,1016,5016
F13,2,1016,1016,5016
H13,3,16,1016,5016
F13,2,1016,1016,5016
I5,3,11,1016,5016
F13,2,1016,1016,5016
I11,3,12,1016,5016
F13,2,1016,1016,5016
I12,3,11,1016,5016
F13,2,1016,1016,5016
J5,3,11,1016,5016
F13,2,1016,1016,5016
J6,3,26,1016,5016
F13,2,1016,1016,5016
J7,3,63,1016,5016
F13,2,1016,1016,5016
J10,3,61,1016,5016
F13,2,1016,1016,5016
J11,3,511,1016,5016
F13,2,1016,1016,5016
K5,3,11,1016,5016
F13,2,1016,1016,5016
K6,3,12,1016,5016
F13,2,1016,1016,5016
K9,3,61,1016,5016
F13,2,1016,1016,5016
K10,3,11,1016,5016
F13,2,1016,1016,5016
L5,3,11,1016,5016
F13,2,1016,1016,5016
L7,3,10016,1016,5016
F13,2,10016,1016,5016
F10,1,5016,-49505,5016
G7,2,-Infinity,-49505,5016
D8,3,11,-49505,5016
G7,2,11,11,5016
D9,3,2,11,5016
G7,2,11,11,5016
D10,3,6,11,5016
G7,2,11,11,5016
E8,3,6,11,5016
G7,2,11,11,5016
E10,3,1006,11,5016
G7,2,1006,1006,5016
E11,3,2,1006,5016
G7,2,1006,1006,5016
F6,3,1,1006,5016
G7,2,1006,1006,5016
F7,3,501,1006,5016
G7,2,1006,1006,5016
F8,3,2,1006,5016
G7,2,1006,1006,5016
F11,3,8,1006,5016
G7,2,1006,1006,5016
F12,3,6,1006,5016
G7,2,1006,1006,5016
F13,3,2,1006,5016
G7,2,1006,1006,5016
G6,3,101,1006,5016
G7,2,1006,1006,5016
G13,3,2,1006,5016
G7,2,1006,1006,5016
H5,3,1,1006,5016
G7,2,1006,1006,5016
H6,3,51,1006,5016
G7,2,1006,1006,5016
H7,3,4,1006,5016
G7,2,1006,1006,5016
H12,3,6,1006,5016
G7,2,1006,1006,5016
H13,3,6,1006,5016
G7,2,1006,1006,5016
I5,3,1,1006,5016
G7,2,1006,1006,5016
I11,3,2,1006,5016
G7,2,1006,1006,5016
I12,3,1,1006,5016
G7,2,1006,1006,5016
J5,3,1,1006,5016
G7,2,1006,1006,5016
J6,3,16,1006,5016
G7,2,1006,1006,5016
J7,3,53,1006,5016
G7,2,1006,1006,5016
J10,3,11,1006,5016
G7,2,1006,1006,5016
J11,3,501,1006,5016
G7,2,1006,1006,5016
K5,3,1,1006,5016
G7,2,1006,1006,5016
K6,3,2,1006,5016
G7,2,1006,1006,5016
K9,3,51,1006,5016
G7,2,1006,1006,5016
K10,3,1,1006,5016
G7,2,1006,1006,5016
L5,3,1,1006,5016
G7,2,1006,1006,5016
L7,3,10006,1006,5016
G7,2,10006,1006,5016
F10,1,5016,-49505,5016
G13,2,-Infinity,-49505,5016
D8,3,21,-49505,5016
G13,2,21,21,5016
D9,3,12,21,5016
G13,2,21,21,5016
D10,3,16,21,5016
G13,2,21,21,5016
E8,3,16,21,5016
G13,2,21,21,5016
E10,3,1016,21,5016
G13,2,1016,1016,5016
E11,3,12,1016,5016
G13,2,1016,1016,5016
F7,3,511,1016,5016
G13,2,1016,1016,5016
F8,3,16,1016,5016
G13,2,1016,1016,5016
F11,3,18,1016,5016
G13,2,1016,1016,5016
F12,3,16,1016,5016
G13,2,1016,1016,5016
F13,3,12,1016,5016
G13,2,1016,1016,5016
F14,3,11,1016,5016
G13,2,1016,1016,5016
G7,3,61,1016,5016
G13,2,1016,1016,5016
G14,3,11,1016,5016
G13,2,1016,1016,5016
H5,3,11,1016,5016
G13,2,1016,1016,5016
H6,3,61,1016,5016
G13,2,1016,1016,5016
H7,3,18,1016,5016
G13,2,1016,1016,5016
H12,3,16,1016,5016
G13,2,1016,1016,5016
H13,3,16,1016,5016
G13,2,1016,1016,5016
H14,3,11,1016,5016
G13,2,1016,1016,5016
I5,3,11,1016,5016
G13,2,1016,1016,5016
I11,3,12,1016,5016
G13,2,1016,1016,5016
I12,3,11,1016,5016
G13,2,1016,1016,5016
J5,3,11,1016,5016
G13,2,1016,1016,5016
J6,3,26,1016,5016
G13,2,1016,1016,5016
J7,3,63,1016,5016
G13,2,1016,1016,5016
J10,3,61,1016,5016
G13,2,1016,1016,5016
J11,3,511,1016,5016
G13,2,1016,1016,5016
K5,3,11,1016,5016
G13,2,1016,1016,5016
K6,3,12,1016,5016
G13,2,1016,1016,5016
K9,3,61,1016,5016
G13,2,1016,1016,5016
K10,3,11,1016,5016
G13,2,1016,1016,5016
L5,3,11,1016,5016
G13,2,1016,1016,5016
L7,3,10016,1016,5016
G13,2,10016,1016,5016
F10,1,5016,-49505,5016
H5,2,-Infinity,-49505,5016
D8,3,16,-49505,5016
H5,2,16,16,5016
D9,3,7,16,5016
H5,2,16,16,5016
D10,3,11,16,5016
H5,2,16,16,5016
E8,3,11,16,5016
H5,2,16,16,5016
E10,3,1011,16,5016
H5,2,1011,1011,5016
E11,3,7,1011,5016
H5,2,1011,1011,5016
F7,3,506,1011,5016
H5,2,1011,1011,5016
F8,3,11,1011,5016
H5,2,1011,1011,5016
F11,3,13,1011,5016
H5,2,1011,1011,5016
F12,3,11,1011,5016
H5,2,1011,1011,5016
F13,3,7,1011,5016
H5,2,1011,1011,5016
G4,3,6,1011,5016
H5,2,1011,1011,5016
G5,3,6,1011,5016
H5,2,1011,1011,5016
G6,3,6,1011,5016
H5,2,1011,1011,5016
G7,3,56,1011,5016
H5,2,1011,1011,5016
G13,3,7,1011,5016
H5,2,1011,1011,5016
H4,3,6,1011,5016
H5,2,1011,1011,5016
H6,3,56,1011,5016
H5,2,1011,1011,5016
H7,3,13,1011,5016
H5,2,1011,1011,5016
H12,3,11,1011,5016
H5,2,1011,1011,5016
H13,3,11,1011,5016
H5,2,1011,1011,5016
I4,3,6,1011,5016
H5,2,1011,1011,5016
I5,3,6,1011,5016
H5,2,1011,1011,5016
I11,3,7,1011,5016
H5,2,1011,1011,5016
I12,3,6,1011,5016
H5,2,1011,1011,5016
J5,3,6,1011,5016
H5,2,1011,1011,5016
J6,3,21,1011,5016
H5,2,1011,1011,5016
J7,3,58,1011,5016
H5,2,1011,1011,5016
J10,3,56,1011,5016
H5,2,1011,1011,5016
J11,3,506,1011,5016
H5,2,1011,1011,5016
K5,3,6,1011,5016
H5,2,1011,1011,5016
K6,3,7,1011,5016
H5,2,1011,1011,5016
K9,3,56,1011,5016
H5,2,1011,1011,5016
K10,3,6,1011,5016
H5,2,1011,1011,5016
L5,3,6,1011,5016
H5,2,1011,1011,5016
L7,3,10011,1011,5016
H5,2,10011,1011,5016
F10,1,5016,-49505,5016
H6,2,-Infinity,-49505,5016
D8,3,16,-49505,5016
H6,2,16,16,5016
D9,3,7,16,5016
H6,2,16,16,5016
D10,3,11,16,5016
H6,2,16,16,5016
E8,3,11,16,5016
H6,2,16,16,5016
E10,3,1011,16,5016
H6,2,1011,1011,5016
E11,3,7,1011,5016
H6,2,1011,1011,5016
F7,3,506,1011,5016
H6,2,1011,1011,5016
F8,3,11,1011,5016
H6,2,1011,1011,5016
F11,3,13,1011,5016
H6,2,1011,1011,5016
F12,3,11,1011,5016
H6,2,1011,1011,5016
F13,3,7,1011,5016
H6,2,1011,1011,5016
G5,3,6,1011,5016
H6,2,1011,1011,5016
G6,3,6,1011,5016
H6,2,1011,1011,5016
G7,3,56,1011,5016
H6,2,1011,1011,5016
G13,3,7,1011,5016
H6,2,1011,1011,5016
H5,3,6,1011,5016
H6,2,1011,1011,5016
H7,3,12,1011,5016
H6,2,1011,1011,5016
H12,3,11,1011,5016
H6,2,1011,1011,5016
H13,3,11,1011,5016
H6,2,1011,1011,5016
I5,3,6,1011,5016
H6,2,1011,1011,5016
I11,3,7,1011,5016
H6,2,1011,1011,5016
I12,3,6,1011,5016
H6,2,1011,1011,5016
J5,3,6,1011,5016
H6,2,1011,1011,5016
J6,3,21,1011,5016
H6,2,1011,1011,5016
J7,3,58,1011,5016
H6,2,1011,1011,5016
J10,3,56,1011,5016
H6,2,1011,1011,5016
J11,3,506,1011,5016
H6,2,1011,1011,5016
K5,3,6,1011,5016
H6,2,1011,1011,5016
K6,3,7,1011,5016
H6,2,1011,1011,5016
K9,3,16,1011,5016
H6,2,1011,1011,5016
K10,3,6,1011,5016
H6,2,1011,1011,5016
L5,3,6,1011,5016
H6,2,1011,1011,5016
L7,3,10011,1011,5016
H6,2,10011,1011,5016
F10,1,5016,-49505,5016
H7,2,-Infinity,-49505,5016
D8,3,-4979,-49505,5016
H7,2,-4979,-4979,5016
D9,3,-4988,-4979,5016
H7,2,-4979,-4979,5016
D10,3,-4984,-4979,5016
H7,2,-4979,-4979,5016
E8,3,-4984,-4979,5016
H7,2,-4979,-4979,5016
E10,3,-3984,-4979,5016
H7,2,-3984,-3984,5016
E11,3,-4988,-3984,5016
H7,2,-3984,-3984,5016
F7,3,-4489,-3984,5016
H7,2,-3984,-3984,5016
F8,3,-4984,-3984,5016
H7,2,-3984,-3984,5016
F11,3,-4982,-3984,5016
H7,2,-3984,-3984,5016
F12,3,-4984,-3984,5016
H7,2,-3984,-3984,5016
F13,3,-4988,-3984,5016
H7,2,-3984,-3984,5016
G6,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
G7,3,-4939,-3984,5016
H7,2,-3984,-3984,5016
G13,3,-4988,-3984,5016
H7,2,-3984,-3984,5016
H5,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
H6,3,-4939,-3984,5016
H7,2,-3984,-3984,5016
H12,3,-4984,-3984,5016
H7,2,-3984,-3984,5016
H13,3,-4984,-3984,5016
H7,2,-3984,-3984,5016
I5,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
I11,3,-4988,-3984,5016
H7,2,-3984,-3984,5016
I12,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
J5,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
J6,3,-4974,-3984,5016
H7,2,-3984,-3984,5016
J7,3,-4977,-3984,5016
H7,2,-3984,-3984,5016
J10,3,-4939,-3984,5016
H7,2,-3984,-3984,5016
J11,3,-4489,-3984,5016
H7,2,-3984,-3984,5016
K5,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
K6,3,-4988,-3984,5016
H7,2,-3984,-3984,5016
K9,3,-4939,-3984,5016
H7,2,-3984,-3984,5016
K10,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
L5,3,-4989,-3984,5016
H7,2,-3984,-3984,5016
L7,3,5016,-3984,5016
H7,2,5016,-3984,5016
F10,1,5016,-49505,5016
H12,2,-Infinity,-49505,5016
D8,3,19,-49505,5016
H12,2,19,19,5016
D9,3,10,19,5016
H12,2,19,19,5016
D10,3,14,19,5016
H12,2,19,19,5016
E8,3,14,19,5016
H12,2,19,19,5016
E10,3,1014,19,5016
H12,2,1014,1014,5016
E11,3,10,1014,5016
H12,2,1014,1014,5016
F7,3,509,1014,5016
H12,2,1014,1014,5016
F8,3,14,1014,5016
H12,2,1014,1014,5016
F11,3,16,1014,5016
H12,2,1014,1014,5016
F12,3,10,1014,5016
H12,2,1014,1014,5016
F13,3,10,1014,5016
H12,2,1014,1014,5016
G7,3,59,1014,5016
H12,2,1014,1014,5016
G13,3,10,1014,5016
H12,2,1014,1014,5016
H5,3,9,1014,5016
H12,2,1014,1014,5016
H6,3,59,1014,5016
H12,2,1014,1014,5016
H7,3,16,1014,5016
H12,2,1014,1014,5016
H13,3,14,1014,5016
H12,2,1014,1014,5016
I5,3,9,1014,5016
H12,2,1014,1014,5016
I11,3,10,1014,5016
H12,2,1014,1014,5016
I12,3,9,1014,5016
H12,2,1014,1014,5016
I13,3,9,1014,5016
H12,2,1014,1014,5016
J5,3,9,1014,5016
H12,2,1014,1014,5016
J6,3,24,1014,5016
H12,2,1014,1014,5016
J7,3,61,1014,5016
H12,2,1014,1014,5016
J10,3,59,1014,5016
H12,2,1014,1014,5016
J11,3,509,1014,5016
H12,2,1014,1014,5016
K5,3,9,1014,5016
H12,2,1014,1014,5016
K6,3,10,1014,5016
H12,2,1014,1014,5016
K9,3,59,1014,5016
H12,2,1014,1014,5016
K10,3,9,1014,5016
H12,2,1014,1014,5016
L5,3,9,1014,5016
H12,2,1014,1014,5016
L7,3,10014,1014,5016
H12,2,10014,1014,5016
F10,1,5016,-49505,5016
H13,2,-Infinity,-49505,5016
D8,3,21,-49505,5016
H13,2,21,21,5016
D9,3,12,21,5016
H13,2,21,21,5016
D10,3,16,21,5016
H13,2,21,21,5016
E8,3,16,21,5016
H13,2,21,21,5016
E10,3,1016,21,5016
H13,2,1016,1016,5016
E11,3,12,1016,5016
H13,2,1016,1016,5016
F7,3,511,1016,5016
H13,2,1016,1016,5016
F8,3,16,1016,5016
H13,2,1016,1016,5016
F11,3,14,1016,5016
H13,2,1016,1016,5016
F12,3,16,1016,5016
H13,2,1016,1016,5016
F13,3,12,1016,5016
H13,2,1016,1016,5016
G7,3,61,1016,5016
H13,2,1016,1016,5016
G13,3,12,1016,5016
H13,2,1016,1016,5016
G14,3,11,1016,5016
H13,2,1016,1016,5016
H5,3,11,1016,5016
H13,2,1016,1016,5016
H6,3,61,1016,5016
H13,2,1016,1016,5016
H7,3,18,1016,5016
H13,2,1016,1016,5016
H12,3,16,1016,5016
H13,2,1016,1016,5016
H14,3,11,1016,5016
H13,2,1016,1016,5016
I5,3,11,1016,5016
H13,2,1016,1016,5016
I11,3,12,1016,5016
H13,2,1016,1016,5016
I12,3,11,1016,5016
H13,2,1016,1016,5016
I13,3,11,1016,5016
H13,2,1016,1016,5016
I14,3,11,1016,5016
H13,2,1016,1016,5016
J5,3,11,1016,5016
H13,2,1016,1016,5016
J6,3,26,1016,5016
H13,2,1016,1016,5016
J7,3,63,1016,5016
H13,2,1016,1016,5016
J10,3,61,1016,5016
H13,2,1016,1016,5016
J11,3,511,1016,5016
H13,2,1016,1016,5016
K5,3,11,1016,5016
H13,2,1016,1016,5016
K6,3,12,1016,5016
H13,2,1016,1016,5016
K9,3,61,1016,5016
H13,2,1016,1016,5016
K10,3,11,1016,5016
H13,2,1016,1016,5016
L5,3,11,1016,5016
H13,2,1016,1016,5016
L7,3,10016,1016,5016
H13,2,10016,1016,5016
F10,1,5016,-49505,5016
I5,2,-Infinity,-49505,5016
D8,3,20,-49505,5016
I5,2,20,20,5016
D9,3,11,20,5016
I5,2,20,20,5016
D10,3,15,20,5016
I5,2,20,20,5016
E8,3,15,20,5016
I5,2,20,20,5016
E10,3,1015,20,5016
I5,2,1015,1015,5016
E11,3,11,1015,5016
I5,2,1015,1015,5016
F7,3,510,1015,5016
I5,2,1015,1015,5016
F8,3,15,1015,5016
I5,2,1015,1015,5016
F11,3,17,1015,5016
I5,2,1015,1015,5016
F12,3,15,1015,5016
I5,2,1015,1015,5016
F13,3,11,1015,5016
I5,2,1015,1015,5016
G7,3,60,1015,5016
I5,2,1015,1015,5016
G13,3,11,1015,5016
I5,2,1015,1015,5016
H4,3,10,1015,5016
I5,2,1015,1015,5016
H5,3,10,1015,5016
I5,2,1015,1015,5016
H6,3,60,1015,5016
I5,2,1015,1015,5016
H7,3,17,1015,5016
I5,2,1015,1015,5016
H12,3,15,1015,5016
I5,2,1015,1015,5016
H13,3,15,1015,5016
I5,2,1015,1015,5016
I4,3,10,1015,5016
I5,2,1015,1015,5016
I11,3,11,1015,5016
I5,2,1015,1015,5016
I12,3,10,1015,5016
I5,2,1015,1015,5016
J4,3,10,1015,5016
I5,2,1015,1015,5016
J5,3,10,1015,5016
I5,2,1015,1015,5016
J6,3,21,1015,5016
I5,2,1015,1015,5016
J7,3,62,1015,5016
I5,2,1015,1015,5016
J10,3,60,1015,5016
I5,2,1015,1015,5016
J11,3,510,1015,5016
I5,2,1015,1015,5016
K5,3,10,1015,5016
I5,2,1015,1015,5016
K6,3,11,1015,5016
I5,2,1015,1015,5016
K9,3,60,1015,5016
I5,2,1015,1015,5016
K10,3,10,1015,5016
I5,2,1015,1015,5016
L5,3,10,1015,5016
I5,2,1015,1015,5016
L7,3,10015,1015,5016
I5,2,10015,1015,5016
F10,1,5016,-49505,5016
I11,2,-Infinity,-49505,5016
D8,3,-30,-49505,5016
I11,2,-30,-30,5016
D9,3,-39,-30,5016
I11,2,-30,-30,5016
D10,3,-35,-30,5016
I11,2,-30,-30,5016
E8,3,-35,-30,5016
I11,2,-30,-30,5016
E10,3,965,-30,5016
I11,2,965,965,5016
E11,3,-39,965,5016
I11,2,965,965,5016
F7,3,460,965,5016
I11,2,965,965,5016
F8,3,-35,965,5016
I11,2,965,965,5016
F11,3,467,965,5016
I11,2,965,965,5016
F12,3,-35,965,5016
I11,2,965,965,5016
F13,3,-39,965,5016
I11,2,965,965,5016
G7,3,10,965,5016
I11,2,965,965,5016
G13,3,-39,965,5016
I11,2,965,965,5016
H5,3,-40,965,5016
I11,2,965,965,5016
H6,3,10,965,5016
I11,2,965,965,5016
H7,3,-33,965,5016
I11,2,965,965,5016
H12,3,-35,965,5016
I11,2,965,965,5016
H13,3,-35,965,5016
I11,2,965,965,5016
I5,3,-40,965,5016
I11,2,965,965,5016
I12,3,-40,965,5016
I11,2,965,965,5016
J5,3,-40,965,5016
I11,2,965,965,5016
J6,3,-25,965,5016
I11,2,965,965,5016
J7,3,12,965,5016
I11,2,965,965,5016
J10,3,10,965,5016
I11,2,965,965,5016
J11,3,960,965,5016
I11,2,965,965,5016
J12,3,-40,965,5016
I11,2,965,965,5016
K5,3,-40,965,5016
I11,2,965,965,5016
K6,3,-39,965,5016
I11,2,965,965,5016
K9,3,10,965,5016
I11,2,965,965,5016
K10,3,-40,965,5016
I11,2,965,965,5016
L5,3,-40,965,5016
I11,2,965,965,5016
L7,3,9965,965,5016
I11,2,9965,965,5016
F10,1,5016,-49505,5016
I12,2,-Infinity,-49505,5016
D8,3,20,-49505,5016
I12,2,20,20,5016
D9,3,11,20,5016
I12,2,20,20,5016
D10,3,15,20,5016
I12,2,20,20,5016
E8,3,15,20,5016
I12,2,20,20,5016
E10,3,1015,20,5016
I12,2,1015,1015,5016
E11,3,11,1015,5016
I12,2,1015,1015,5016
F7,3,510,1015,5016
I12,2,1015,1015,5016
F8,3,15,1015,5016
I12,2,1015,1015,5016
F11,3,17,1015,5016
I12,2,1015,1015,5016
F12,3,15,1015,5016
I12,2,1015,1015,5016
F13,3,11,1015,5016
I12,2,1015,1015,5016
G7,3,60,1015,5016
I12,2,1015,1015,5016
G13,3,11,1015,5016
I12,2,1015,1015,5016
H5,3,10,1015,5016
I12,2,1015,1015,5016
H6,3,60,1015,5016
I12,2,1015,1015,5016
H7,3,17,1015,5016
I12,2,1015,1015,5016
H12,3,11,1015,5016
I12,2,1015,1015,5016
H13,3,15,1015,5016
I12,2,1015,1015,5016
I5,3,10,1015,5016
I12,2,1015,1015,5016
I11,3,11,1015,5016
I12,2,1015,1015,5016
I13,3,10,1015,5016
I12,2,1015,1015,5016
J5,3,10,1015,5016
I12,2,1015,1015,5016
J6,3,25,1015,5016
I12,2,1015,1015,5016
J7,3,62,1015,5016
I12,2,1015,1015,5016
J10,3,60,1015,5016
I12,2,1015,1015,5016
J11,3,510,1015,5016
I12,2,1015,1015,5016
J12,3,10,1015,5016
I12,2,1015,1015,5016
J13,3,10,1015,5016
I12,2,1015,1015,5016
K5,3,10,1015,5016
I12,2,1015,1015,5016
K6,3,11,1015,5016
I12,2,1015,1015,5016
K9,3,60,1015,5016
I12,2,1015,1015,5016
K10,3,10,1015,5016
I12,2,1015,1015,5016
L5,3,10,1015,5016
I12,2,1015,1015,5016
L7,3,10015,1015,5016
I12,2,10015,1015,5016
F10,1,5016,-49505,5016
J5,2,-Infinity,-49505,5016
D8,3,16,-49505,5016
J5,2,16,16,5016
D9,3,7,16,5016
J5,2,16,16,5016
D10,3,11,16,5016
J5,2,16,16,5016
E8,3,11,16,5016
J5,2,16,16,5016
E10,3,1011,16,5016
J5,2,1011,1011,5016
E11,3,7,1011,5016
J5,2,1011,1011,5016
F7,3,506,1011,5016
J5,2,1011,1011,5016
F8,3,11,1011,5016
J5,2,1011,1011,5016
F11,3,13,1011,5016
J5,2,1011,1011,5016
F12,3,11,1011,5016
J5,2,1011,1011,5016
F13,3,7,1011,5016
J5,2,1011,1011,5016
G7,3,56,1011,5016
J5,2,1011,1011,5016
G13,3,7,1011,5016
J5,2,1011,1011,5016
H5,3,6,1011,5016
J5,2,1011,1011,5016
H6,3,56,1011,5016
J5,2,1011,1011,5016
H7,3,13,1011,5016
J5,2,1011,1011,5016
H12,3,11,1011,5016
J5,2,1011,1011,5016
H13,3,11,1011,5016
J5,2,1011,1011,5016
I4,3,6,1011,5016
J5,2,1011,1011,5016
I5,3,6,1011,5016
J5,2,1011,1011,5016
I11,3,7,1011,5016
J5,2,1011,1011,5016
I12,3,6,1011,5016
J5,2,1011,1011,5016
J4,3,6,1011,5016
J5,2,1011,1011,5016
J6,3,21,1011,5016
J5,2,1011,1011,5016
J7,3,58,1011,5016
J5,2,1011,1011,5016
J10,3,56,1011,5016
J5,2,1011,1011,5016
J11,3,506,1011,5016
J5,2,1011,1011,5016
K4,3,6,1011,5016
J5,2,1011,1011,5016
K5,3,6,1011,5016
J5,2,1011,1011,5016
K6,3,7,1011,5016
J5,2,1011,1011,5016
K9,3,56,1011,5016
J5,2,1011,1011,5016
K10,3,6,1011,5016
J5,2,1011,1011,5016
L5,3,6,1011,5016
J5,2,1011,1011,5016
L7,3,10011,1011,5016
J5,2,10011,1011,5016
F10,1,5016,-49505,5016
J6,2,-Infinity,-49505,5016
D8,3,16,-49505,5016
J6,2,16,16,5016
D9,3,7,16,5016
J6,2,16,16,5016
D10,3,11,16,5016
J6,2,16,16,5016
E8,3,11,16,5016
J6,2,16,16,5016
E10,3,1011,16,5016
J6,2,1011,1011,5016
E11,3,7,1011,5016
J6,2,1011,1011,5016
F7,3,506,1011,5016
J6,2,1011,1011,5016
F8,3,11,1011,5016
J6,2,1011,1011,5016
F11,3,13,1011,5016
J6,2,1011,1011,5016
F12,3,11,1011,5016
J6,2,1011,1011,5016
F13,3,7,1011,5016
J6,2,1011,1011,5016
G7,3,56,1011,5016
J6,2,1011,1011,5016
G13,3,7,1011,5016
J6,2,1011,1011,5016
H5,3,6,1011,5016
J6,2,1011,1011,5016
H6,3,56,1011,5016
J6,2,1011,1011,5016
H7,3,13,1011,5016
J6,2,1011,1011,5016
H12,3,11,1011,5016
J6,2,1011,1011,5016
H13,3,11,1011,5016
J6,2,1011,1011,5016
I5,3,6,1011,5016
J6,2,1011,1011,5016
I11,3,7,1011,5016
J6,2,1011,1011,5016
I12,3,6,1011,5016
J6,2,1011,1011,5016
J5,3,6,1011,5016
J6,2,1011,1011,5016
J7,3,57,1011,5016
J6,2,1011,1011,5016
J10,3,56,1011,5016
J6,2,1011,1011,5016
J11,3,506,1011,5016
J6,2,1011,1011,5016
K5,3,6,1011,5016
J6,2,1011,1011,5016
K6,3,7,1011,5016
J6,2,1011,1011,5016
K9,3,56,1011,5016
J6,2,1011,1011,5016
K10,3,6,1011,5016
J6,2,1011,1011,5016
L5,3,6,1011,5016
J6,2,1011,1011,5016
L7,3,10011,1011,5016
J6,2,10011,1011,5016
