Move,Depth,Value
G9,2,-10
H6,1,-10
G11,2,0
H6,1,-10
H5,2,5
H6,1,-10
H7,2,0
H6,1,-10
H11,2,0
H6,1,-10
I5,2,5
H6,1,-10
I6,2,5
H6,1,-10
I7,2,0
H6,1,-10
I10,2,4
H6,1,-10
I11,2,5
H6,1,-10
J7,2,5
H6,1,-10
J8,2,4
H6,1,-10
J9,2,4
H6,1,-10
J10,2,-5
H6,1,-10
root,0,-4
H7,1,Infinity
F6,2,10
H7,1,10
F7,2,9
H7,1,9
F8,2,0
H7,1,0
F9,2,4
H7,1,0
F10,2,9
H7,1,0
F11,2,9
H7,1,0
G6,2,10
H7,1,0
G9,2,-5
H7,1,-5
G11,2,5
H7,1,-5
H6,2,10
H7,1,-5
H11,2,5
H7,1,-5
I6,2,10
H7,1,-5
I7,2,5
H7,1,-5
I10,2,9
H7,1,-5
I11,2,10
H7,1,-5
J7,2,10
H7,1,-5
J8,2,9
H7,1,-5
J9,2,9
H7,1,-5
J10,2,0
H7,1,-5
root,0,-4
H11,1,Infinity
F6,2,10
H11,1,10
F7,2,9
H11,1,9
F8,2,0
H11,1,0
F9,2,4
H11,1,0
F10,2,9
H11,1,0
F11,2,9
H11,1,0
G6,2,10
H11,1,0
G9,2,-5
H11,1,-5
G11,2,5
H11,1,-5
G12,2,10
H11,1,-5
H6,2,10
H11,1,-5
H7,2,4
H11,1,-5
H12,2,-90
H11,1,-90
I7,2,5
H11,1,-90
I10,2,9
H11,1,-90
I11,2,10
H11,1,-90
I12,2,10
H11,1,-90
J7,2,10
H11,1,-90
J8,2,9
H11,1,-90
J9,2,9
H11,1,-90
J10,2,0
H11,1,-90
root,0,-4
I7,1,Infinity
F6,2,1
I7,1,1
F7,2,0
I7,1,0
F8,2,-9
I7,1,-9
F9,2,-9
I7,1,-9
F10,2,0
I7,1,-9
F11,2,0
I7,1,-9
G6,2,1
I7,1,-9
G9,2,-10
I7,1,-10
G11,2,-4
I7,1,-10
H6,2,1
I7,1,-10
H7,2,-5
I7,1,-10
H11,2,-4
I7,1,-10
I6,2,1
I7,1,-10
I10,2,0
I7,1,-10
I11,2,1
I7,1,-10
J6,2,1
I7,1,-10
J7,2,1
I7,1,-10
J8,2,0
I7,1,-10
J9,2,0
I7,1,-10
J10,2,-9
I7,1,-10
root,0,-4
I10,1,Infinity
F6,2,2
I10,1,2
F7,2,1
I10,1,1
F8,2,-8
I10,1,-8
F9,2,-8
I10,1,-8
F10,2,1
I10,1,-8
F11,2,1
I10,1,-8
G6,2,2
I10,1,-8
G9,2,-13
I10,1,-13
G11,2,-3
I10,1,-13
H6,2,2
I10,1,-13
H7,2,-4
I10,1,-13
H11,2,-3
I10,1,-13
I7,2,-3
I10,1,-13
I11,2,2
I10,1,-13
J7,2,2
I10,1,-13
J8,2,1
I10,1,-13
J9,2,1
I10,1,-13
J10,2,-8
I10,1,-13
J11,2,2
I10,1,-13
root,0,-4
I11,1,Infinity
F6,2,5
I11,1,5
F7,2,4
I11,1,4
F8,2,-5
I11,1,-5
F9,2,-5
I11,1,-5
F10,2,4
I11,1,-5
F11,2,4
I11,1,-5
G6,2,5
I11,1,-5
G9,2,-10
I11,1,-10
G11,2,0
I11,1,-10
H6,2,5
I11,1,-10
H7,2,-1
I11,1,-10
H11,2,0
I11,1,-10
H12,2,5
I11,1,-10
I7,2,0
I11,1,-10
I10,2,5
I11,1,-10
I12,2,5
I11,1,-10
J7,2,5
I11,1,-10
J8,2,4
I11,1,-10
J9,2,4
I11,1,-10
J10,2,-5
I11,1,-10
J11,2,5
I11,1,-10
J12,2,5
I11,1,-10
root,0,-4
J7,1,Infinity
F6,2,10
J7,1,10
F7,2,9
J7,1,9
F8,2,0
J7,1,0
F9,2,0
J7,1,0
F10,2,9
J7,1,0
F11,2,9
J7,1,0
G6,2,10
J7,1,0
G9,2,-5
J7,1,-5
G11,2,5
J7,1,-5
H6,2,10
J7,1,-5
H7,2,4
J7,1,-5
H11,2,5
J7,1,-5
I6,2,10
J7,1,-5
I7,2,5
J7,1,-5
I10,2,9
J7,1,-5
I11,2,10
J7,1,-5
J6,2,10
J7,1,-5
J8,2,9
J7,1,-5
