Move,Depth,Value,Alpha,Beta
F11,2,4,-14,-5
F7,1,-5,-14,-5
G6,2,5,-14,-5
F7,1,-5,-14,-5
G9,2,-10,-14,-5
F7,1,-10,-14,-10
G11,2,0,-14,-10
F7,1,-10,-14,-10
H6,2,5,-14,-10
F7,1,-10,-14,-10
H7,2,-1,-14,-10
F7,1,-10,-14,-10
H11,2,0,-14,-10
F7,1,-10,-14,-10
I7,2,0,-14,-10
F7,1,-10,-14,-10
I10,2,4,-14,-10
F7,1,-10,-14,-10
I11,2,5,-14,-10
F7,1,-10,-14,-10
J7,2,5,-14,-10
F7,1,-10,-14,-10
J8,2,4,-14,-10
F7,1,-10,-14,-10
J9,2,4,-14,-10
F7,1,-10,-14,-10
J10,2,-5,-14,-10
F7,1,-10,-14,-10
root,0,-10,-10,Infinity
F8,1,Infinity,-10,Infinity
E7,2,5,-10,Infinity
F8,1,5,-10,5
E8,2,5,-10,5
F8,1,5,-10,5
E9,2,5,-10,5
F8,1,5,-10,5
F6,2,5,-10,5
F8,1,5,-10,5
F7,2,4,-10,5
F8,1,4,-10,4
F9,2,-5,-10,4
F8,1,-5,-10,-5
F10,2,4,-10,-5
F8,1,-5,-10,-5
F11,2,4,-10,-5
F8,1,-5,-10,-5
G6,2,5,-10,-5
F8,1,-5,-10,-5
G9,2,-10,-10,-5
F8,1,-10,-10,-5
root,0,-10,-10,Infinity
F9,1,Infinity,-10,Infinity
E8,2,0,-10,Infinity
F9,1,0,-10,0
E9,2,0,-10,0
F9,1,0,-10,0
E10,2,0,-10,0
F9,1,0,-10,0
F6,2,0,-10,0
F9,1,0,-10,0
F7,2,-1,-10,0
F9,1,-1,-10,-1
F8,2,-10,-10,-1
F9,1,-10,-10,-1
root,0,-10,-10,Infinity
F10,1,Infinity,-10,Infinity
E9,2,0,-10,Infinity
F10,1,0,-10,0
E10,2,0,-10,0
F10,1,0,-10,0
E11,2,0,-10,0
F10,1,0,-10,0
F6,2,0,-10,0
F10,1,0,-10,0
F7,2,-1,-10,0
F10,1,-1,-10,-1
F8,2,-10,-10,-1
F10,1,-10,-10,-1
root,0,-10,-10,Infinity
F11,1,Infinity,-10,Infinity
E10,2,0,-10,Infinity
F11,1,0,-10,0
E11,2,0,-10,0
F11,1,0,-10,0
E12,2,0,-10,0
F11,1,0,-10,0
F6,2,0,-10,0
F11,1,0,-10,0
F7,2,-1,-10,0
F11,1,-1,-10,-1
F8,2,-10,-10,-1
F11,1,-10,-10,-1
root,0,-10,-10,Infinity
G6,1,Infinity,-10,Infinity
F5,2,1,-10,Infinity
G6,1,1,-10,1
F6,2,1,-10,1
G6,1,1,-10,1
F7,2,0,-10,1
G6,1,0,-10,0
F8,2,-9,-10,0
G6,1,-9,-10,-9
F9,2,-9,-10,-9
G6,1,-9,-10,-9
F10,2,0,-10,-9
G6,1,-9,-10,-9
F11,2,0,-10,-9
G6,1,-9,-10,-9
G5,2,1,-10,-9
G6,1,-9,-10,-9
G9,2,-14,-10,-9
G6,1,-14,-10,-9
root,0,-10,-10,Infinity
G9,1,Infinity,-10,Infinity
F6,2,6,-10,Infinity
G9,1,6,-10,6
F7,2,5,-10,6
G9,1,5,-10,5
F8,2,-4,-10,5
G9,1,-4,-10,-4
F9,2,-4,-10,-4
G9,1,-4,-10,-4
F10,2,5,-10,-4
G9,1,-4,-10,-4
F11,2,5,-10,-4
G9,1,-4,-10,-4
G6,2,6,-10,-4
G9,1,-4,-10,-4
G11,2,5,-10,-4
G9,1,-4,-10,-4
H6,2,6,-10,-4
G9,1,-4,-10,-4
H7,2,0,-10,-4
G9,1,-4,-10,-4
H11,2,1,-10,-4
G9,1,-4,-10,-4
I7,2,5,-10,-4
G9,1,-4,-10,-4
I10,2,5,-10,-4
G9,1,-4,-10,-4
I11,2,6,-10,-4
G9,1,-4,-10,-4
J7,2,6,-10,-4
G9,1,-4,-10,-4
J8,2,5,-10,-4
G9,1,-4,-10,-4
J9,2,5,-10,-4
G9,1,-4,-10,-4
J10,2,-4,-10,-4
G9,1,-4,-10,-4
root,0,-4,-4,Infinity
G11,1,Infinity,-4,Infinity
F6,2,1,-4,Infinity
G11,1,1,-4,1
F7,2,0,-4,1
G11,1,0,-4,0
F8,2,-9,-4,0
G11,1,-9,-4,0
root,0,-4,-4,Infinity
H6,1,Infinity,-4,Infinity
F6,2,5,-4,Infinity
H6,1,5,-4,5
F7,2,4,-4,5
H6,1,4,-4,4
F8,2,-5,-4,4
H6,1,-5,-4,4
root,0,-4,-4,Infinity
H7,1,Infinity,-4,Infinity
F6,2,10,-4,Infinity
H7,1,10,-4,10
F7,2,9,-4,10
H7,1,9,-4,9
F8,2,0,-4,9
H7,1,0,-4,0
F9,2,4,-4,0
H7,1,0,-4,0
F10,2,9,-4,0
H7,1,0,-4,0
F11,2,9,-4,0
H7,1,0,-4,0
G6,2,10,-4,0
H7,1,0,-4,0
G9,2,-5,-4,0
H7,1,-5,-4,0
root,0,-4,-4,Infinity
H11,1,Infinity,-4,Infinity
F6,2,10,-4,Infinity
H11,1,10,-4,10
F7,2,9,-4,10
H11,1,9,-4,9
F8,2,0,-4,9
H11,1,0,-4,0
F9,2,4,-4,0
H11,1,0,-4,0
F10,2,9,-4,0
H11,1,0,-4,0
F11,2,9,-4,0
H11,1,0,-4,0
G6,2,10,-4,0
H11,1,0,-4,0
G9,2,-5,-4,0
H11,1,-5,-4,0
root,0,-4,-4,Infinity
I7,1,Infinity,-4,Infinity
F6,2,1,-4,Infinity
I7,1,1,-4,1
F7,2,0,-4,1
I7,1,0,-4,0
F8,2,-9,-4,0
I7,1,-9,-4,0
root,0,-4,-4,Infinity
I10,1,Infinity,-4,Infinity
F6,2,2,-4,Infinity
I10,1,2,-4,2
F7,2,1,-4,2
I10,1,1,-4,1
F8,2,-8,-4,1
I10,1,-8,-4,1
root,0,-4,-4,Infinity
I11,1,Infinity,-4,Infinity
F6,2,5,-4,Infinity
I11,1,5,-4,5
F7,2,4,-4,5
I11,1,4,-4,4
F8,2,-5,-4,4
I11,1,-5,-4,4
root,0,-4,-4,Infinity
J7,1,Infinity,-4,Infinity
F6,2,10,-4,Infinity
J7,1,10,-4,10
F7,2,9,-4,10
J7,1,9,-4,9
F8,2,0,-4,9
J7,1,0,-4,0
F9,2,0,-4,0
J7,1,0,-4,0
F10,2,9,-4,0
J7,1,0,-4,0
F11,2,9,-4,0
J7,1,0,-4,0
G6,2,10,-4,0
J7,1,0,-4,0
G9,2,-5,-4,0
J7,1,-5,-4,0
root,0,-4,-4,Infinity
J8,1,Infinity,-4,Infinity
F6,2,1,-4,Infinity
J8,1,1,-4,1
F7,2,0,-4,1
J8,1,0,-4,0
F8,2,-9,-4,0
J8,1,-9,-4,0
root,0,-4,-4,Infinity
J9,1,Infinity,-4,Infinity
F6,2,5,-4,Infinity
J9,1,5,-4,5
F7,2,4,-4,5
J9,1,4,-4,4
F8,2,-5,-4,4
J9,1,-5,-4,4
root,0,-4,-4,Infinity
J10,1,Infinity,-4,Infinity
F6,2,0,-4,Infinity
J10,1,0,-4,0
F7,2,-1,-4,0
J10,1,-1,-4,-1
F8,2,-10,-4,-1
J10,1,-10,-4,-1
root,0,-4,-4,Infinity
