Move,Depth,Value
root,0,-Infinity
D8,1,Infinity
C7,2,-Infinity
B6,3,5
C7,2,5
B7,3,5
C7,2,5
B8,3,5
C7,2,5
C6,3,5
C7,2,5
C8,3,10
C7,2,10
C9,3,10
C7,2,10
D6,3,5
C7,2,10
D7,3,10
C7,2,10
D9,3,11
C7,2,11
D10,3,10
C7,2,11
E7,3,10
C7,2,11
E8,3,15
C7,2,15
E10,3,10
C7,2,15
F7,3,505
C7,2,505
F8,3,10
C7,2,505
F10,3,15
C7,2,505
F11,3,11
C7,2,505
F12,3,10
C7,2,505
F13,3,6
C7,2,505
G7,3,55
C7,2,505
G13,3,6
C7,2,505
H5,3,5
C7,2,505
H6,3,55
C7,2,505
H7,3,12
C7,2,505
H12,3,10
C7,2,505
H13,3,10
C7,2,505
I5,3,5
C7,2,505
I11,3,6
C7,2,505
I12,3,5
C7,2,505
J5,3,5
C7,2,505
J6,3,20
C7,2,505
J7,3,57
C7,2,505
J10,3,55
C7,2,505
J11,3,505
C7,2,505
K5,3,5
C7,2,505
K6,3,6
C7,2,505
K9,3,55
C7,2,505
K10,3,5
C7,2,505
L5,3,5
C7,2,505
L7,3,10010
C7,2,10010
L8,3,10
C7,2,10010
L9,3,5
C7,2,10010
M5,3,5
C7,2,10010
M6,3,5
C7,2,10010
M7,3,5
C7,2,10010
D8,1,10010
C8,2,-Infinity
B7,3,5
C8,2,5
B8,3,5
C8,2,5
B9,3,5
C8,2,5
C7,3,55
C8,2,55
C9,3,10
C8,2,55
D7,3,10
C8,2,55
D9,3,11
C8,2,55
D10,3,10
C8,2,55
E7,3,10
C8,2,55
E8,3,11
C8,2,55
E10,3,10
C8,2,55
F7,3,505
C8,2,505
F8,3,10
C8,2,505
F10,3,25
C8,2,505
F11,3,11
C8,2,505
F12,3,10
C8,2,505
F13,3,6
C8,2,505
G7,3,55
C8,2,505
G13,3,6
C8,2,505
H5,3,5
C8,2,505
H6,3,55
C8,2,505
H7,3,12
C8,2,505
H12,3,10
C8,2,505
H13,3,10
C8,2,505
I5,3,5
C8,2,505
I11,3,6
C8,2,505
I12,3,5
C8,2,505
J5,3,5
C8,2,505
J6,3,20
C8,2,505
J7,3,57
C8,2,505
J10,3,55
C8,2,505
J11,3,505
C8,2,505
K5,3,5
C8,2,505
K6,3,6
C8,2,505
K9,3,55
C8,2,505
K10,3,5
C8,2,505
L5,3,5
C8,2,505
L7,3,10010
C8,2,10010
L8,3,10
C8,2,10010
L9,3,5
C8,2,10010
M5,3,5
C8,2,10010
M6,3,5
C8,2,10010
M7,3,5
C8,2,10010
D8,1,10010
C9,2,-Infinity
B8,3,5
C9,2,5
B9,3,5
C9,2,5
B10,3,5
C9,2,5
C7,3,55
C9,2,55
C8,3,10
C9,2,55
C10,3,5
C9,2,55
D7,3,10
C9,2,55
D9,3,10
C9,2,55
D10,3,10
C9,2,55
E7,3,6
C9,2,55
E8,3,15
C9,2,55
E10,3,10
C9,2,55
F7,3,505
C9,2,505
F8,3,10
C9,2,505
F10,3,25
C9,2,505
F11,3,11
C9,2,505
F12,3,10
C9,2,505
F13,3,6
C9,2,505
G7,3,55
C9,2,505
G13,3,6
C9,2,505
H5,3,5
C9,2,505
H6,3,55
C9,2,505
H7,3,12
C9,2,505
H12,3,10
C9,2,505
H13,3,10
C9,2,505
I5,3,5
C9,2,505
I11,3,6
C9,2,505
I12,3,5
C9,2,505
J5,3,5
C9,2,505
J6,3,20
C9,2,505
J7,3,57
C9,2,505
J10,3,55
C9,2,505
J11,3,505
C9,2,505
K5,3,5
C9,2,505
K6,3,6
C9,2,505
K9,3,55
C9,2,505
K10,3,5
C9,2,505
L5,3,5
C9,2,505
L7,3,10010
C9,2,10010
L8,3,10
C9,2,10010
L9,3,5
C9,2,10010
M5,3,5
C9,2,10010
M6,3,5
C9,2,10010
M7,3,5
C9,2,10010
D8,1,10010
D7,2,-Infinity
C6,3,5
D7,2,5
C7,3,55
D7,2,55
C8,3,10
D7,2,55
C9,3,10
D7,2,55
D6,3,5
D7,2,55
D9,3,7
D7,2,55
D10,3,10
D7,2,55
E6,3,5
D7,2,55
E7,3,10
D7,2,55
E8,3,15
D7,2,55
E10,3,10
D7,2,55
F7,3,505
D7,2,505
F8,3,10
D7,2,505
F10,3,25
D7,2,505
F11,3,11
D7,2,505
F12,3,10
D7,2,505
F13,3,6
D7,2,505
G7,3,55
D7,2,505
G13,3,6
D7,2,505
H5,3,5
D7,2,505
H6,3,55
D7,2,505
H7,3,12
D7,2,505
H12,3,10
D7,2,505
H13,3,10
D7,2,505
I5,3,5
D7,2,505
I11,3,6
D7,2,505
I12,3,5
D7,2,505
J5,3,5
D7,2,505
J6,3,20
D7,2,505
J7,3,57
D7,2,505
J10,3,55
D7,2,505
J11,3,505
D7,2,505
K5,3,5
D7,2,505
K6,3,6
D7,2,505
K9,3,55
D7,2,505
K10,3,5
D7,2,505
L5,3,5
D7,2,505
L7,3,10010
D7,2,10010
L8,3,10
D7,2,10010
L9,3,5
D7,2,10010
M5,3,5
D7,2,10010
M6,3,5
D7,2,10010
M7,3,5
D7,2,10010
D8,1,10010
D9,2,-Infinity
C7,3,55
D9,2,55
C8,3,10
D9,2,55
C9,3,10
D9,2,55
C10,3,5
D9,2,55
D7,3,6
D9,2,55
D10,3,10
D9,2,55
E7,3,10
D9,2,55
E8,3,15
D9,2,55
E10,3,10
D9,2,55
F7,3,505
D9,2,505
F8,3,10
D9,2,505
F10,3,25
D9,2,505
F11,3,11
D9,2,505
F12,3,10
D9,2,505
F13,3,6
D9,2,505
G7,3,55
D9,2,505
G13,3,6
D9,2,505
H5,3,5
D9,2,505
H6,3,55
D9,2,505
H7,3,12
D9,2,505
H12,3,10
D9,2,505
H13,3,10
D9,2,505
I5,3,5
D9,2,505
I11,3,6
D9,2,505
I12,3,5
D9,2,505
J5,3,5
D9,2,505
J6,3,20
D9,2,505
J7,3,57
D9,2,505
J10,3,55
D9,2,505
J11,3,505
D9,2,505
K5,3,5
D9,2,505
K6,3,6
D9,2,505
K9,3,55
D9,2,505
K10,3,5
D9,2,505
L5,3,5
D9,2,505
L7,3,10010
D9,2,10010
