Move,Depth,Value
L8,3,10
D9,2,10010
L9,3,5
D9,2,10010
M5,3,5
D9,2,10010
M6,3,5
D9,2,10010
M7,3,5
D9,2,10010
D8,1,10010
D10,2,-Infinity
C7,3,55
D10,2,55
C8,3,10
D10,2,55
C9,3,10
D10,2,55
C10,3,5
D10,2,55
C11,3,5
D10,2,55
D7,3,10
D10,2,55
D9,3,7
D10,2,55
D11,3,5
D10,2,55
E7,3,10
D10,2,55
E8,3,15
D10,2,55
E10,3,10
D10,2,55
E11,3,5
D10,2,55
F7,3,505
D10,2,505
F8,3,6
D10,2,505
F10,3,25
D10,2,505
F11,3,11
D10,2,505
F12,3,10
D10,2,505
F13,3,6
D10,2,505
G7,3,55
D10,2,505
G13,3,6
D10,2,505
H5,3,5
D10,2,505
H6,3,55
D10,2,505
H7,3,12
D10,2,505
H12,3,10
D10,2,505
H13,3,10
D10,2,505
I5,3,5
D10,2,505
I11,3,6
D10,2,505
I12,3,5
D10,2,505
J5,3,5
D10,2,505
J6,3,20
D10,2,505
J7,3,57
D10,2,505
J10,3,55
D10,2,505
J11,3,505
D10,2,505
K5,3,5
D10,2,505
K6,3,6
D10,2,505
K9,3,55
D10,2,505
K10,3,5
D10,2,505
L5,3,5
D10,2,505
L7,3,10010
D10,2,10010
L8,3,10
D10,2,10010
L9,3,5
D10,2,10010
M5,3,5
D10,2,10010
M6,3,5
D10,2,10010
M7,3,5
D10,2,10010
D8,1,10010
E7,2,-Infinity
C7,3,55
E7,2,55
C8,3,10
E7,2,55
C9,3,6
E7,2,55
D6,3,5
E7,2,55
D7,3,10
E7,2,55
D9,3,11
E7,2,55
D10,3,10
E7,2,55
E6,3,5
E7,2,55
E8,3,11
E7,2,55
E10,3,10
E7,2,55
F6,3,5
E7,2,55
F7,3,505
E7,2,505
F8,3,10
E7,2,505
F10,3,25
E7,2,505
F11,3,11
E7,2,505
F12,3,10
E7,2,505
F13,3,6
E7,2,505
G7,3,55
E7,2,505
G13,3,6
E7,2,505
H5,3,5
E7,2,505
H6,3,55
E7,2,505
H7,3,12
E7,2,505
H12,3,10
E7,2,505
H13,3,10
E7,2,505
I5,3,5
E7,2,505
I11,3,6
E7,2,505
I12,3,5
E7,2,505
J5,3,5
E7,2,505
J6,3,20
E7,2,505
J7,3,57
E7,2,505
J10,3,55
E7,2,505
J11,3,505
E7,2,505
K5,3,5
E7,2,505
K6,3,6
E7,2,505
K9,3,55
E7,2,505
K10,3,5
E7,2,505
L5,3,5
E7,2,505
L7,3,10010
E7,2,10010
L8,3,10
E7,2,10010
L9,3,5
E7,2,10010
M5,3,5
E7,2,10010
M6,3,5
E7,2,10010
M7,3,5
E7,2,10010
D8,1,10010
E8,2,-Infinity
C7,3,54
E8,2,54
C8,3,5
E8,2,54
C9,3,9
E8,2,54
D7,3,9
E8,2,54
D9,3,10
E8,2,54
D10,3,9
E8,2,54
E7,3,9
E8,2,54
E10,3,5
E8,2,54
F7,3,504
E8,2,504
F8,3,9
E8,2,504
F10,3,24
E8,2,504
F11,3,10
E8,2,504
F12,3,9
E8,2,504
F13,3,5
E8,2,504
G7,3,54
E8,2,504
G13,3,5
E8,2,504
H5,3,4
E8,2,504
H6,3,54
E8,2,504
H7,3,11
E8,2,504
H12,3,9
E8,2,504
H13,3,9
E8,2,504
I5,3,4
E8,2,504
I11,3,5
E8,2,504
I12,3,4
E8,2,504
J5,3,4
E8,2,504
J6,3,19
E8,2,504
J7,3,56
E8,2,504
J10,3,54
E8,2,504
J11,3,504
E8,2,504
K5,3,4
E8,2,504
K6,3,5
E8,2,504
K9,3,54
E8,2,504
K10,3,4
E8,2,504
L5,3,4
E8,2,504
L7,3,10009
E8,2,10009
L8,3,9
E8,2,10009
L9,3,4
E8,2,10009
M5,3,4
E8,2,10009
M6,3,4
E8,2,10009
M7,3,4
E8,2,10009
D8,1,10009
E10,2,-Infinity
C7,3,5
E10,2,5
C8,3,-40
E10,2,5
C9,3,-40
E10,2,5
D7,3,-40
E10,2,5
D9,3,-39
E10,2,5
D10,3,-40
E10,2,5
D11,3,455
E10,2,455
E7,3,-40
E10,2,455
E8,3,-39
E10,2,455
E11,3,-45
E10,2,455
F7,3,455
E10,2,455
F8,3,-40
E10,2,455
F10,3,-35
E10,2,455
F11,3,-43
E10,2,455
F12,3,-40
E10,2,455
F13,3,-44
E10,2,455
G7,3,5
E10,2,455
G13,3,-44
E10,2,455
H5,3,-45
E10,2,455
H6,3,5
E10,2,455
H7,3,462
E10,2,462
H12,3,-40
E10,2,462
H13,3,-40
E10,2,462
I5,3,-45
E10,2,462
I11,3,-44
E10,2,462
I12,3,-45
E10,2,462
J5,3,-45
E10,2,462
J6,3,-30
E10,2,462
J7,3,7
E10,2,462
J10,3,5
E10,2,462
J11,3,455
E10,2,462
K5,3,-45
E10,2,462
K6,3,-44
E10,2,462
K9,3,5
E10,2,462
K10,3,-45
E10,2,462
L5,3,-45
E10,2,462
L7,3,9960
E10,2,9960
L8,3,-40
E10,2,9960
L9,3,-45
E10,2,9960
M5,3,-45
E10,2,9960
M6,3,-45
E10,2,9960
M7,3,-45
E10,2,9960
D8,1,9960
F7,2,-Infinity
C7,3,-4945
F7,2,-4945
C8,3,-4990
F7,2,-4945
C9,3,-4990
F7,2,-4945
D7,3,-4990
F7,2,-4945
D9,3,-4989
F7,2,-4945
D10,3,-4990
F7,2,-4945
E6,3,-4995
F7,2,-4945
E7,3,-4990
F7,2,-4945
E8,3,-4985
F7,2,-4945
E10,3,-4990
F7,2,-4945
F6,3,-4995
F7,2,-4945
F8,3,-4990
F7,2,-4945
F10,3,-4975
F7,2,-4945
F11,3,-4989
F7,2,-4945
F12,3,-4990
F7,2,-4945
F13,3,-4994
F7,2,-4945
G6,3,-4995
F7,2,-4945
G7,3,-4945
F7,2,-4945
G13,3,-4994
F7,2,-4945
H5,3,-4995
F7,2,-4945
H6,3,-4945
F7,2,-4945
H7,3,-4988
F7,2,-4945
H12,3,-4990
F7,2,-4945
H13,3,-4990
F7,2,-4945
I5,3,-4995
F7,2,-4945
I11,3,-4994
F7,2,-4945
I12,3,-4995
F7,2,-4945
J5,3,-4995
F7,2,-4945
J6,3,-4980
F7,2,-4945
J7,3,-4943
F7,2,-4943
J10,3,-4945
F7,2,-4943
J11,3,-4995
F7,2,-4943
K5,3,-4995
F7,2,-4943
K6,3,-4994
F7,2,-4943
K9,3,-4945
F7,2,-4943
K10,3,-4995
F7,2,-4943
L5,3,-4995
F7,2,-4943
L7,3,5010
F7,2,5010
L8,3,-4990
F7,2,5010
L9,3,-4995
F7,2,5010
M5,3,-4995
F7,2,5010
M6,3,-4995
F7,2,5010
M7,3,-4995
F7,2,5010
D8,1,5010
F8,2,-Infinity
C7,3,48
F8,2,48
C8,3,3
F8,2,48
C9,3,3
F8,2,48
D7,3,3
F8,2,48
D9,3,4
F8,2,48
D10,3,-1
F8,2,48
E7,3,3
F8,2,48
E8,3,4
F8,2,48
E10,3,3
F8,2,48
F7,3,498
F8,2,498
F10,3,18
F8,2,498
F11,3,4
F8,2,498
F12,3,3
F8,2,498
F13,3,-1
F8,2,498
G7,3,48
F8,2,498
G13,3,-1
F8,2,498
H5,3,-2
F8,2,498
H6,3,48
F8,2,498
H7,3,5
F8,2,498
H12,3,3
F8,2,498
H13,3,3
F8,2,498
I5,3,-2
F8,2,498
I11,3,-1
F8,2,498
I12,3,-2
F8,2,498
J5,3,-2
F8,2,498
J6,3,13
F8,2,498
J7,3,50
F8,2,498
J10,3,48
F8,2,498
J11,3,498
F8,2,498
K5,3,-2
F8,2,498
K6,3,-1
F8,2,498
K9,3,48
F8,2,498
K10,3,-2
F8,2,498
L5,3,-2
F8,2,498
L7,3,10003
F8,2,10003
L8,3,3
F8,2,10003
L9,3,-2
F8,2,10003
M5,3,-2
F8,2,10003
M6,3,-2
F8,2,10003
M7,3,-2
F8,2,10003
D8,1,5010
F10,2,-Infinity
C7,3,8
F10,2,8
C8,3,3
F10,2,8
C9,3,3
F10,2,8
D7,3,3
F10,2,8
D9,3,4
F10,2,8
D10,3,3
F10,2,8
E7,3,3
F10,2,8
E8,3,8
F10,2,8
E10,3,3
F10,2,8
E11,3,-2
F10,2,8
F7,3,498
F10,2,498
F8,3,3
F10,2,498
F11,3,4
F10,2,498
F12,3,3
F10,2,498
F13,3,-1
F10,2,498
G7,3,48
F10,2,498
G13,3,-1
F10,2,498
H5,3,-2
F10,2,498
H6,3,48
F10,2,498
H7,3,5
F10,2,498
H12,3,3
F10,2,498
H13,3,3
F10,2,498
I5,3,-2
F10,2,498
I11,3,-1
F10,2,498
I12,3,-2
F10,2,498
J5,3,-2
F10,2,498
J6,3,13
F10,2,498
J7,3,50
F10,2,498
J10,3,48
F10,2,498
J11,3,498
F10,2,498
K5,3,-2
F10,2,498
K6,3,-1
F10,2,498
K9,3,48
F10,2,498
K10,3,-2
F10,2,498
L5,3,-2
F10,2,498
L7,3,10003
F10,2,10003
L8,3,3
F10,2,10003
L9,3,-2
F10,2,10003
M5,3,-2
F10,2,10003
M6,3,-2
F10,2,10003
M7,3,-2
F10,2,10003
D8,1,5010
F11,2,-Infinity
C7,3,5
F11,2,5
C8,3,-40
F11,2,5
C9,3,-40
F11,2,5
D7,3,-40
F11,2,5
D9,3,-39
F11,2,5
D10,3,-40
F11,2,5
E7,3,-40
F11,2,5
E8,3,-35
F11,2,5
E10,3,-40
F11,2,5
E11,3,455
F11,2,455
E12,3,-45
F11,2,455
F7,3,455
F11,2,455
F8,3,-40
F11,2,455
F10,3,-25
F11,2,455
F12,3,-40
F11,2,455
F13,3,-44
F11,2,455
G7,3,5
F11,2,455
G13,3,-44
F11,2,455
H5,3,-45
F11,2,455
H6,3,5
F11,2,455
H7,3,-38
F11,2,455
H12,3,-40
F11,2,455
H13,3,-44
F11,2,455
I5,3,-45
F11,2,455
I11,3,456
F11,2,456
I12,3,-45
F11,2,456
J5,3,-45
F11,2,456
J6,3,-30
F11,2,456
J7,3,7
F11,2,456
J10,3,5
F11,2,456
J11,3,455
F11,2,456
K5,3,-45
F11,2,456
K6,3,-44
F11,2,456
K9,3,5
F11,2,456
K10,3,-45
F11,2,456
L5,3,-45
F11,2,456
L7,3,9960
F11,2,9960
L8,3,-40
F11,2,9960
L9,3,-45
F11,2,9960
M5,3,-45
F11,2,9960
M6,3,-45
F11,2,9960
M7,3,-45
F11,2,9960
D8,1,5010
F12,2,-Infinity
C7,3,54
F12,2,54
C8,3,9
F12,2,54
C9,3,9
F12,2,54
D7,3,9
F12,2,54
D9,3,10
F12,2,54
D10,3,9
F12,2,54
E7,3,9
F12,2,54
E8,3,14
F12,2,54
E10,3,9
F12,2,54
E11,3,4
F12,2,54
E12,3,4
F12,2,54
E13,3,4
F12,2,54
F7,3,504
F12,2,504
F8,3,9
F12,2,504
F10,3,24
F12,2,504
F11,3,10
F12,2,504
F13,3,5
F12,2,504
G7,3,54
F12,2,504
G13,3,5
F12,2,504
H5,3,4
F12,2,504
H6,3,54
F12,2,504
H7,3,11
F12,2,504
H12,3,5
F12,2,504
H13,3,9
F12,2,504
I5,3,4
F12,2,504
I11,3,5
F12,2,504
I12,3,4
F12,2,504
J5,3,4
F12,2,504
J6,3,19
F12,2,504
J7,3,56
F12,2,504
J10,3,54
F12,2,504
J11,3,504
F12,2,504
K5,3,4
F12,2,504
K6,3,5
F12,2,504
K9,3,54
F12,2,504
K10,3,4
F12,2,504
L5,3,4
F12,2,504
L7,3,10009
F12,2,10009
L8,3,9
F12,2,10009
L9,3,4
F12,2,10009
M5,3,4
F12,2,10009
M6,3,4
F12,2,10009
M7,3,4
F12,2,10009
D8,1,5010
F13,2,-Infinity
C7,3,55
F13,2,55
C8,3,10
F13,2,55
C9,3,10
F13,2,55
D7,3,10
F13,2,55
D9,3,11
F13,2,55
D10,3,10
F13,2,55
E7,3,10
F13,2,55
E8,3,15
F13,2,55
E10,3,10
F13,2,55
E12,3,5
F13,2,55
E13,3,5
F13,2,55
E14,3,5
F13,2,55
F7,3,505
F13,2,505
F8,3,10
F13,2,505
F10,3,25
F13,2,505
F11,3,11
F13,2,505
F12,3,10
F13,2,505
F14,3,5
F13,2,505
G7,3,55
F13,2,505
G13,3,6
F13,2,505
G14,3,5
F13,2,505
H5,3,5
F13,2,505
H6,3,55
F13,2,505
H7,3,12
F13,2,505
H12,3,10
F13,2,505
H13,3,10
F13,2,505
I5,3,5
F13,2,505
I11,3,6
F13,2,505
I12,3,5
F13,2,505
J5,3,5
F13,2,505
J6,3,20
F13,2,505
J7,3,57
F13,2,505
J10,3,55
F13,2,505
J11,3,505
F13,2,505
K5,3,5
F13,2,505
K6,3,6
F13,2,505
K9,3,55
F13,2,505
K10,3,5
F13,2,505
L5,3,5
F13,2,505
L7,3,10010
F13,2,10010
L8,3,10
F13,2,10010
L9,3,5
F13,2,10010
M5,3,5
F13,2,10010
M6,3,5
F13,2,10010
M7,3,5
F13,2,10010
D8,1,5010
G7,2,-Infinity
C7,3,45
G7,2,45
C8,3,0
G7,2,45
C9,3,0
G7,2,45
D7,3,0
G7,2,45
D9,3,1
G7,2,45
D10,3,0
G7,2,45
E7,3,0
G7,2,45
E8,3,5
G7,2,45
E10,3,0
G7,2,45
F6,3,-5
G7,2,45
F7,3,495
G7,2,495
F8,3,-4
G7,2,495
F10,3,15
G7,2,495
F11,3,1
G7,2,495
F12,3,0
G7,2,495
F13,3,-4
G7,2,495
G6,3,95
G7,2,495
G13,3,-4
G7,2,495
H5,3,-5
G7,2,495
H6,3,45
G7,2,495
H7,3,-2
G7,2,495
H12,3,0
G7,2,495
H13,3,0
G7,2,495
I5,3,-5
G7,2,495
I11,3,-4
G7,2,495
I12,3,-5
G7,2,495
J5,3,-5
G7,2,495
J6,3,10
G7,2,495
J7,3,47
G7,2,495
J10,3,5
G7,2,495
J11,3,495
G7,2,495
K5,3,-5
G7,2,495
K6,3,-4
G7,2,495
K9,3,45
G7,2,495
K10,3,-5
G7,2,495
L5,3,-5
G7,2,495
L7,3,10000
G7,2,10000
L8,3,0
G7,2,10000
L9,3,-5
G7,2,10000
M5,3,-5
G7,2,10000
M6,3,-5
G7,2,10000
M7,3,-5
G7,2,10000
D8,1,5010
G13,2,-Infinity
C7,3,55
G13,2,55
C8,3,10
G13,2,55
C9,3,10
G13,2,55
D7,3,10
G13,2,55
D9,3,11
G13,2,55
D10,3,10
G13,2,55
E7,3,10
G13,2,55
E8,3,15
G13,2,55
E10,3,10
G13,2,55
F7,3,505
G13,2,505
F8,3,10
G13,2,505
F10,3,25
G13,2,505
F11,3,11
G13,2,505
F12,3,10
G13,2,505
F13,3,6
G13,2,505
F14,3,5
G13,2,505
G7,3,55
G13,2,505
G14,3,5
G13,2,505
H5,3,5
G13,2,505
H6,3,55
G13,2,505
H7,3,12
G13,2,505
H12,3,10
G13,2,505
H13,3,10
G13,2,505
H14,3,5
G13,2,505
I5,3,5
G13,2,505
I11,3,6
G13,2,505
I12,3,5
G13,2,505
J5,3,5
G13,2,505
J6,3,20
G13,2,505
J7,3,57
G13,2,505
J10,3,55
G13,2,505
J11,3,505
G13,2,505
K5,3,5
G13,2,505
K6,3,6
G13,2,505
K9,3,55
G13,2,505
K10,3,5
G13,2,505
L5,3,5
G13,2,505
L7,3,10010
G13,2,10010
L8,3,10
G13,2,10010
L9,3,5
G13,2,10010
M5,3,5
G13,2,10010
M6,3,5
G13,2,10010
M7,3,5
G13,2,10010
D8,1,5010
H5,2,-Infinity
C7,3,50
H5,2,50
C8,3,5
H5,2,50
C9,3,5
H5,2,50
D7,3,5
H5,2,50
D9,3,6
H5,2,50
D10,3,5
H5,2,50
E7,3,5
H5,2,50
E8,3,10
H5,2,50
E10,3,5
H5,2,50
F7,3,500
H5,2,500
F8,3,5
H5,2,500
F10,3,20
H5,2,500
F11,3,6
H5,2,500
F12,3,5
H5,2,500
F13,3,1
H5,2,500
G4,3,0
H5,2,500
G5,3,0
H5,2,500
G6,3,0
H5,2,500
G7,3,50
H5,2,500
G13,3,1
H5,2,500
H4,3,0
H5,2,500
H6,3,50
H5,2,500
H7,3,7
H5,2,500
H12,3,5
H5,2,500
H13,3,5
H5,2,500
I4,3,0
H5,2,500
I5,3,0
H5,2,500
I11,3,1
H5,2,500
I12,3,0
H5,2,500
J5,3,0
H5,2,500
J6,3,15
H5,2,500
J7,3,52
H5,2,500
J10,3,50
H5,2,500
J11,3,500
H5,2,500
K5,3,0
H5,2,500
K6,3,1
H5,2,500
K9,3,50
H5,2,500
K10,3,0
H5,2,500
L5,3,0
H5,2,500
L7,3,10005
H5,2,10005
L8,3,5
H5,2,10005
L9,3,0
H5,2,10005
M5,3,0
H5,2,10005
M6,3,0
H5,2,10005
M7,3,0
H5,2,10005
D8,1,5010
H6,2,-Infinity
C7,3,50
H6,2,50
C8,3,5
H6,2,50
C9,3,5
H6,2,50
D7,3,5
H6,2,50
D9,3,6
H6,2,50
D10,3,5
H6,2,50
E7,3,5
H6,2,50
E8,3,10
H6,2,50
E10,3,5
H6,2,50
F7,3,500
H6,2,500
F8,3,5
H6,2,500
F10,3,20
H6,2,500
F11,3,6
H6,2,500
F12,3,5
H6,2,500
F13,3,1
H6,2,500
G5,3,0
H6,2,500
G6,3,0
H6,2,500
G7,3,50
H6,2,500
G13,3,1
H6,2,500
H5,3,0
H6,2,500
H7,3,6
H6,2,500
H12,3,5
H6,2,500
H13,3,5
H6,2,500
I5,3,0
H6,2,500
I11,3,1
H6,2,500
I12,3,0
H6,2,500
J5,3,0
H6,2,500
J6,3,15
H6,2,500
J7,3,52
H6,2,500
J10,3,50
H6,2,500
J11,3,500
H6,2,500
K5,3,0
H6,2,500
K6,3,1
H6,2,500
K9,3,10
H6,2,500
K10,3,0
H6,2,500
L5,3,0
H6,2,500
L7,3,10005
H6,2,10005
L8,3,5
H6,2,10005
L9,3,0
H6,2,10005
M5,3,0
H6,2,10005
M6,3,0
H6,2,10005
M7,3,0
H6,2,10005
D8,1,5010
H7,2,-Infinity
C7,3,-4945
H7,2,-4945
C8,3,-4990
H7,2,-4945
C9,3,-4990
H7,2,-4945
D7,3,-4990
H7,2,-4945
D9,3,-4989
H7,2,-4945
D10,3,-4990
H7,2,-4945
E7,3,-4990
H7,2,-4945
E8,3,-4985
H7,2,-4945
E10,3,-4990
H7,2,-4945
F7,3,-4495
H7,2,-4495
F8,3,-4990
H7,2,-4495
F10,3,-4975
H7,2,-4495
F11,3,-4989
H7,2,-4495
F12,3,-4990
H7,2,-4495
F13,3,-4994
H7,2,-4495
G6,3,-4995
H7,2,-4495
G7,3,-4945
H7,2,-4495
G13,3,-4994
H7,2,-4495
H5,3,-4995
H7,2,-4495
H6,3,-4945
H7,2,-4495
H12,3,-4990
H7,2,-4495
H13,3,-4990
H7,2,-4495
I5,3,-4995
H7,2,-4495
I11,3,-4994
H7,2,-4495
I12,3,-4995
H7,2,-4495
J5,3,-4995
H7,2,-4495
J6,3,-4980
H7,2,-4495
J7,3,-4983
H7,2,-4495
J10,3,-4945
H7,2,-4495
J11,3,-4495
H7,2,-4495
K5,3,-4995
H7,2,-4495
K6,3,-4994
H7,2,-4495
K9,3,-4945
H7,2,-4495
K10,3,-4995
H7,2,-4495
L5,3,-4995
H7,2,-4495
L7,3,5010
H7,2,5010
L8,3,-4990
H7,2,5010
L9,3,-4995
H7,2,5010
M5,3,-4995
H7,2,5010
M6,3,-4995
H7,2,5010
M7,3,-4995
H7,2,5010
D8,1,5010
H12,2,-Infinity
C7,3,49
H12,2,49
C8,3,4
H12,2,49
C9,3,4
H12,2,49
D7,3,4
H12,2,49
D9,3,5
H12,2,49
D10,3,4
H12,2,49
E7,3,4
H12,2,49
E8,3,9
H12,2,49
E10,3,4
H12,2,49
F7,3,499
H12,2,499
F8,3,4
H12,2,499
F10,3,19
H12,2,499
F11,3,5
H12,2,499
F12,3,0
H12,2,499
F13,3,0
H12,2,499
G7,3,49
H12,2,499
G13,3,0
H12,2,499
H5,3,-1
H12,2,499
H6,3,49
H12,2,499
H7,3,6
H12,2,499
H13,3,4
H12,2,499
I5,3,-1
H12,2,499
I11,3,0
H12,2,499
I12,3,-1
H12,2,499
I13,3,-1
H12,2,499
J5,3,-1
H12,2,499
J6,3,14
H12,2,499
J7,3,51
H12,2,499
J10,3,49
H12,2,499
J11,3,499
H12,2,499
K5,3,-1
H12,2,499
K6,3,0
H12,2,499
K9,3,49
H12,2,499
K10,3,-1
H12,2,499
L5,3,-1
H12,2,499
L7,3,10004
H12,2,10004
L8,3,4
H12,2,10004
L9,3,-1
H12,2,10004
M5,3,-1
H12,2,10004
M6,3,-1
H12,2,10004
M7,3,-1
H12,2,10004
D8,1,5010
H13,2,-Infinity
C7,3,55
H13,2,55
C8,3,10
H13,2,55
C9,3,10
H13,2,55
D7,3,10
H13,2,55
D9,3,11
H13,2,55
D10,3,10
H13,2,55
E7,3,10
H13,2,55
E8,3,15
H13,2,55
E10,3,10
H13,2,55
F7,3,505
H13,2,505
F8,3,10
H13,2,505
F10,3,25
H13,2,505
F11,3,7
H13,2,505
F12,3,10
H13,2,505
F13,3,6
H13,2,505
G7,3,55
H13,2,505
G13,3,6
H13,2,505
G14,3,5
H13,2,505
H5,3,5
H13,2,505
H6,3,55
H13,2,505
H7,3,12
H13,2,505
H12,3,10
H13,2,505
H14,3,5
H13,2,505
I5,3,5
H13,2,505
I11,3,6
H13,2,505
I12,3,5
H13,2,505
I13,3,5
H13,2,505
I14,3,5
H13,2,505
J5,3,5
H13,2,505
J6,3,20
H13,2,505
J7,3,57
H13,2,505
J10,3,55
H13,2,505
J11,3,505
H13,2,505
